Prscrbr_NPI,Physician_Name,Specialty,City,State,Brand_Name,Sales_Rep,Territory,HCP_Tier,CMS_Volume_Decile,Target_Calls,Actual_Calls,Samples_Dropped,Tot_Clms,Tot_30day_Fills,Tot_Drug_Cst,Rx_Lift_Pct,Delta_Log_Fills,Post_Campaign_Fills,dataset_mode
1001000001,Dr. Margaret Green,Emergency Medicine,Philadelphia,PA,Fentora,REP-111,TERR-06,2,5,3,2,2,19,13.213,27892.13,4.1146,0.037537,13.7567,hybrid
1001000002,Dr. Michelle White,Pain Management,Columbus,OH,Abstral,REP-108,TERR-04,2,5,7,6,0,20,14.0903,15590.01,3.4263,0.031491,14.5731,hybrid
1001000003,Dr. Jessica Hernandez,Internal Medicine,Phoenix,AZ,Fentora,REP-111,TERR-06,2,5,9,8,3,15,13.9623,32739.35,6.5002,0.058889,14.8699,hybrid
1001000004,Dr. Ashley Walker,Family Practice,Houston,TX,Subsys,REP-107,TERR-04,2,6,6,5,3,12,17.5191,19569.01,4.907,0.045375,18.3787,hybrid
1001000005,Dr. Sharon Wright,Family Practice,Atlanta,GA,Actiq,REP-102,TERR-01,2,4,4,4,0,18,11.52,17511.34,2.3156,0.021083,11.7868,hybrid
1001000006,Dr. Stephanie Martinez,Oncology,Chicago,IL,Abstral,REP-102,TERR-01,2,5,6,5,2,17,12.612,32615.05,4.7101,0.042716,13.2061,hybrid
1001000007,Dr. Robert Scott,Oncology,Portland,OR,Actiq,REP-110,TERR-05,2,4,4,2,3,19,11.0435,21345.81,5.3955,0.04829,11.6393,hybrid
1001000008,Dr. Karen Sanchez,Emergency Medicine,Phoenix,AZ,Fentora,REP-105,TERR-03,2,5,4,3,1,20,12.4473,12414.99,3.2062,0.029246,12.8464,hybrid
1001000009,Dr. Sandra Young,Orthopedics,Columbus,OH,Subsys,REP-107,TERR-04,2,5,5,3,2,16,14.9065,23791.01,5.1417,0.04706,15.6729,hybrid
1001000010,Dr. Charles Baker,Palliative Care,Philadelphia,PA,Subsys,REP-102,TERR-01,1,8,7,3,4,19,22.1986,49228.43,4.9675,0.046439,23.3013,hybrid
1001000011,Dr. Kimberly Brown,Pain Management,Los Angeles,CA,Lazanda,REP-102,TERR-01,1,8,14,11,4,18,21.5928,31239.59,6.8546,0.063456,23.0729,hybrid
1001000012,Dr. Rebecca Wilson,Internal Medicine,Denver,CO,Subsys,REP-103,TERR-02,1,8,8,7,6,32,21.2967,46667.18,6.46,0.059874,22.6725,hybrid
1001000013,Dr. Michelle Ramirez,Pain Management,Portland,OR,Actiq,REP-102,TERR-01,2,4,4,3,3,13,9.6643,24896.95,3.9191,0.0349,10.0431,hybrid
1001000014,Dr. Dorothy Nguyen,Family Practice,Charlotte,NC,Subsys,REP-102,TERR-01,2,6,7,6,7,20,17.2314,35216.81,5.272,0.048627,18.1398,hybrid
1001000015,Dr. Donna Wright,Internal Medicine,Detroit,MI,Subsys,REP-108,TERR-04,2,4,3,3,3,14,11.9684,10313.17,5.2394,0.047221,12.5955,hybrid
1001000016,Dr. Betty Jones,Palliative Care,Phoenix,AZ,Abstral,REP-108,TERR-04,2,6,9,7,7,26,17.2422,16136.22,9.047,0.08205,18.8021,hybrid
1001000017,Dr. Mary Scott,Oncology,New York,NY,Abstral,REP-111,TERR-06,3,2,5,4,5,26,5.6614,12415.18,7.7622,0.063885,6.1009,hybrid
1001000018,Dr. Sarah Nelson,Pain Management,Detroit,MI,Subsys,REP-105,TERR-03,1,8,14,6,3,12,21.9891,50246.42,6.7391,0.062467,23.471,hybrid
1001000019,Dr. Emily Moore,Pain Management,Denver,CO,Subsys,REP-104,TERR-02,2,6,13,10,4,14,16.1725,20921.42,7.2927,0.066424,17.3519,hybrid
1001000020,Dr. Thomas Lopez,Pain Management,Austin,TX,Actiq,REP-102,TERR-01,2,5,4,4,0,25,12.5564,26583.79,2.073,0.019019,12.8167,hybrid
1001000021,Dr. Mary Williams,Pain Management,Detroit,MI,Lazanda,REP-106,TERR-03,1,8,16,14,0,7,22.6867,37810.78,4.1945,0.039388,23.6383,hybrid
1001000022,Dr. Betty Young,Neurology,Phoenix,AZ,Fentora,REP-108,TERR-04,2,4,5,4,5,29,10.7363,26385.73,6.1685,0.054894,11.3985,hybrid
1001000023,Dr. Robert Garcia,Oncology,Nashville,TN,Lazanda,REP-108,TERR-04,2,5,7,2,2,25,14.8219,18640.13,5.2267,0.047802,15.5966,hybrid
1001000024,Dr. William Smith,Internal Medicine,Jacksonville,FL,Subsys,REP-108,TERR-04,3,3,2,1,2,21,7.7158,13889.08,3.7538,0.032691,8.0054,hybrid
1001000025,Dr. Sarah Clark,Family Practice,Austin,TX,Actiq,REP-110,TERR-05,1,10,9,4,1,11,33.952,70595.11,3.8632,0.03684,35.2636,hybrid
1001000026,Dr. Lisa Hill,Internal Medicine,Charlotte,NC,Abstral,REP-102,TERR-01,2,6,8,5,2,16,15.7127,19797.04,3.6796,0.034009,16.2909,hybrid
1001000027,Dr. David Lopez,Psychiatry,Las Vegas,NV,Subsys,REP-111,TERR-06,2,6,4,2,1,17,15.2741,24043.25,2.6807,0.024849,15.6835,hybrid
1001000028,Dr. James Nelson,Internal Medicine,Houston,TX,Subsys,REP-102,TERR-01,2,6,10,7,7,23,15.765,26983.91,5.8172,0.053259,16.6821,hybrid
1001000029,Dr. Amanda Flores,Orthopedics,Denver,CO,Abstral,REP-111,TERR-06,1,10,11,6,3,12,28.1044,28108.13,6.3413,0.059432,29.8866,hybrid
1001000030,Dr. Michelle Hill,Oncology,Seattle,WA,Fentora,REP-108,TERR-04,2,4,7,5,2,39,10.4084,25153.07,5.7166,0.05084,11.0034,hybrid
1001000031,Dr. Mary Miller,Palliative Care,Chicago,IL,Subsys,REP-104,TERR-02,2,7,11,8,0,34,20.9252,37798.42,2.6779,0.025236,21.4856,hybrid
1001000032,Dr. John Moore,Internal Medicine,Austin,TX,Actiq,REP-107,TERR-04,1,9,6,5,4,19,24.31,51082.21,6.1288,0.057199,25.7999,hybrid
1001000033,Dr. Lisa Wilson,Orthopedics,Philadelphia,PA,Fentora,REP-107,TERR-04,2,4,2,2,0,27,9.0861,18599.9,1.9333,0.017266,9.2617,hybrid
1001000034,Dr. Sandra Green,Anesthesiology,Charlotte,NC,Subsys,REP-111,TERR-06,2,4,2,2,1,18,10.6809,25775.24,4.1964,0.037654,11.1291,hybrid
1001000035,Dr. Margaret Perez,Family Practice,Miami,FL,Abstral,REP-110,TERR-05,2,4,4,2,1,21,9.7498,10808.75,3.7729,0.033647,10.1177,hybrid
1001000036,Dr. Dorothy Gonzalez,Pain Management,Portland,OR,Actiq,REP-111,TERR-06,2,5,9,6,5,26,14.4473,20931.17,9.1393,0.082019,15.7677,hybrid
1001000037,Dr. Charles Young,Orthopedics,Austin,TX,Abstral,REP-101,TERR-01,2,5,2,1,2,14,13.1374,29863.46,2.1772,0.02003,13.4234,hybrid
1001000038,Dr. Jennifer Torres,Internal Medicine,Chicago,IL,Fentora,REP-103,TERR-02,2,7,9,7,2,10,20.126,23826.56,5.4865,0.050948,21.2302,hybrid
1001000039,Dr. James King,Internal Medicine,Portland,OR,Abstral,REP-107,TERR-04,3,2,2,2,3,24,5.5483,6862.47,4.088,0.034051,5.7751,hybrid
1001000040,Dr. Karen Torres,Oncology,Charlotte,NC,Subsys,REP-106,TERR-03,1,8,16,11,10,24,21.1121,36404.87,10.5166,0.095683,23.3324,hybrid
1001000041,Dr. Nancy Miller,Internal Medicine,Baltimore,MD,Actiq,REP-108,TERR-04,3,2,2,1,0,28,5.3214,7161.55,1.7101,0.014293,5.4124,hybrid
1001000042,Dr. Ashley Ramirez,Internal Medicine,Atlanta,GA,Fentora,REP-110,TERR-05,2,6,5,5,1,14,17.7379,30698.17,5.1074,0.047216,18.6439,hybrid
1001000043,Dr. Carol King,Oncology,Jacksonville,FL,Subsys,REP-105,TERR-03,2,6,5,4,5,21,15.2962,16030.84,7.1565,0.065013,16.3909,hybrid
1001000044,Dr. Margaret Brown,Oncology,Columbus,OH,Actiq,REP-112,TERR-06,2,6,10,7,2,15,17.9899,30269.68,4.7452,0.043972,18.8436,hybrid
1001000045,Dr. Michelle Nguyen,Anesthesiology,Detroit,MI,Subsys,REP-109,TERR-05,1,8,9,6,3,23,23.4213,43021.21,6.5139,0.060598,24.947,hybrid
1001000046,Dr. Robert Martinez,Oncology,Denver,CO,Fentora,REP-106,TERR-03,2,6,10,6,4,30,17.1464,24275.53,6.754,0.061864,18.3044,hybrid
1001000047,Dr. John Brown,Pain Management,Los Angeles,CA,Abstral,REP-112,TERR-06,2,6,9,8,1,15,16.4181,35584.03,5.6184,0.051604,17.3406,hybrid
1001000048,Dr. Kathleen Davis,Pain Management,Phoenix,AZ,Lazanda,REP-104,TERR-02,2,5,9,4,5,17,14.0374,35016.99,6.9544,0.062899,15.0136,hybrid
1001000049,Dr. Kathleen Rodriguez,Palliative Care,Chicago,IL,Fentora,REP-105,TERR-03,1,8,16,13,5,10,22.9073,56961.37,8.7316,0.080348,24.9075,hybrid
1001000050,Dr. Barbara Ramirez,Internal Medicine,Portland,OR,Abstral,REP-106,TERR-03,2,6,8,7,5,9,17.6277,32903.41,6.884,0.063111,18.8412,hybrid
1001000051,Dr. Stephanie Rodriguez,Pain Management,Chicago,IL,Abstral,REP-110,TERR-05,3,3,5,4,1,15,8.132,16995.96,5.0004,0.043566,8.5386,hybrid
1001000052,Dr. Karen Perez,Palliative Care,Atlanta,GA,Fentora,REP-107,TERR-04,2,5,9,6,1,24,12.1485,18315.36,5.1544,0.046525,12.7746,hybrid
